# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myPDF[1] c_myPDF[2] c_myPDF[3]
100000 1000
926 9.255 0.782633 63.0763
927 9.265 0.786098 63.2436
928 9.275 0.789537 63.4119
929 9.285 0.792102 63.5812
930 9.295 0.793517 63.7512
931 9.305 0.796943 63.9222
932 9.315 0.802576 64.0949
933 9.325 0.80614 64.2686
934 9.335 0.810541 64.4437
935 9.345 0.814312 64.62
936 9.355 0.817282 64.7973
937 9.365 0.82028 64.9756
938 9.375 0.82613 65.1556
939 9.385 0.830999 65.3371
940 9.395 0.832112 65.5191
941 9.405 0.838388 65.703
942 9.415 0.842079 65.888
943 9.425 0.846792 66.0745
944 9.435 0.849503 66.2619
945 9.445 0.854338 66.4509
946 9.455 0.86008 66.6415
947 9.465 0.863904 66.8333
948 9.475 0.867346 67.0263
949 9.485 0.873103 67.2211
950 9.495 0.880349 67.4178
951 9.505 0.883552 67.6157
952 9.515 0.889193 67.8153
953 9.525 0.894703 68.0165
954 9.535 0.897515 68.2187
955 9.545 0.902903 68.4227
956 9.555 0.906127 68.6277
957 9.565 0.908438 68.8338
958 9.575 0.9117 69.041
959 9.585 0.91818 69.2501
960 9.595 0.923513 69.4608
961 9.605 0.928133 69.6731
962 9.615 0.931635 69.8866
963 9.625 0.936556 70.1017
964 9.635 0.942115 70.3185
965 9.645 0.948591 70.5372
966 9.655 0.954599 70.7578
967 9.665 0.960229 70.9802
968 9.675 0.966169 71.2044
